"type","name","fullname","label","labelReport","hintReport","chapter","disaggregation","correlate","structuralequation.risk","structuralequation.coping","structuralequation.resilience","anonymise","clean","cluster","predict","mappoint","mappoly","relevant","required","constraint","repeat_count","listname","qrepeat","qrepeatlabel","qlevel","qgroup","labelchoice","variable","order","weight","score","recategorise","formpart"
"select_one","FemaleInterviewee","Profile.Interviewee.FemaleInterviewee","Please select a statement that is true about the PA","Please select a statement that is true about the PA",,"Demographics",,,,,,,"no",,,,,"selected(${SexInterviewee},'female')","yes",,," female_int","","MainDataFrame","level2","Profile.Interviewee","Please select a statement that is true about the PA",,"","","","","questions"
"date","DobInterviewee","Profile.Interviewee.DobInterviewee","What is the date of birth of the interviewee?","What is the date of birth of the interviewee?",,"Demographics",,,,,,,"no",,,,,,"yes",".< ${today} and int(format-date(.,’%Y%m%d’)) > 19190101",,"","","MainDataFrame","level2","Profile.Interviewee","What is the date of birth of the interviewee?",,"","","","","questions"
"select_one","NationalityInterviewee","Profile.Interviewee.NationalityInterviewee","What is the nationality of the interviewee?","What is the nationality of the interviewee?",,"Demographics",,,,,,,"no",,,,,,"yes",,," nationality","","MainDataFrame","level2","Profile.Interviewee","What is the nationality of the interviewee?",,"","","","","questions"
"text","NationalityOther","Profile.Interviewee.NationalityOther","Please specify the nationality of the interviewee:","Please specify the nationality of the interviewee:",,,,,,,,,"no",,,,,"selected(${NationalityInterviewee},'other')","yes",,,"","","MainDataFrame","level2","Profile.Interviewee","Please specify the nationality of the interviewee:",,"","","","","questions"
"end_group","interviewee","Profile.interviewee","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level1","Profile",,,"","","","","questions"
"begin_group","HHDemo","Profile.HHDemo.HHDemo","Household Demographics","Household Demographics",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level2","Profile.HHDemo","Household Demographics",,"","","","","questions"
"integer","RegCase","Profile.HHDemo.RegCase","How many people are registered under the same case number?","How many people are registered under the same case number?","This refers to UNHCR Registration process - which is the sampling universe for the survey","Demographics",,,,,,,"no",,,,,,"yes",".>=1 and .<=48",,"","","MainDataFrame","level2","Profile.HHDemo","How many people are registered under the same case number?",,"","","","","questions"
"select_one","RegAllLiving","Profile.HHDemo.RegAllLiving","Are all those registered living with you?","Are all those registered living with you?",,"Demographics",,,,,,,"no",,,,,,"yes",,," yesno","","MainDataFrame","level2","Profile.HHDemo","Are all those registered living with you?",,"","","","","questions"
"select_multiple_d","RegNotAllLiving","Profile.HHDemo.RegNotAllLiving","If not, why not?","If not, why not?",,"Demographics",,,,,,,"no",,,,,"selected(${RegAllLiving},'no')","yes",,,"not_living","","MainDataFrame","level2","Profile.HHDemo","If not, why not?",,"","","","","questions"
"select_one","RegOtherLiving","Profile.HHDemo.RegOtherLiving","Are there other people living with you, who are not registered under the same case nu","Are there other people living with you, who are not registered under the same ca","This question may trigger some registration referals","Demographics",,,,,,,"no",,,,,,"yes",,," yesno","","MainDataFrame","level2","Profile.HHDemo","Are there other people living with you, who are not registered under the same ca",,"","","","","questions"
"integer","RegOtherNo","Profile.HHDemo.RegOtherNo","If yes, how many?","If yes, how many?",,"Demographics",,,,,,,"no",,,,,"selected(${RegOtherLiving},'yes')","yes",,,"","","MainDataFrame","level2","Profile.HHDemo","If yes, how many?",,"","","","","questions"
"select_one","RegOtherRef","Profile.HHDemo.RegOtherRef","Are they refugees?","Are they refugees?",,"Demographics",,,,,,,"no",,,,,"selected(${RegOtherLiving},'yes')","yes",,," yesno","","MainDataFrame","level2","Profile.HHDemo","Are they refugees?",,"","","","","questions"
"integer","RegOtherCaseNo","Profile.HHDemo.RegOtherCaseNo","If yes, how many additional case numbers are there?","If yes, how many additional case numbers are there?","This question provides way to establish relation between different case established together as an household","Demographics",,,,,,,"no",,,,,"selected(${RegOtherRef},'yes')","yes",,,"","","MainDataFrame","level2","Profile.HHDemo","If yes, how many additional case numbers are there?",,"","","","","questions"
"begin_repeat","ListCaseNos","Profile.HHDemo.ListCaseNos.ListCaseNos","Other case numbers","Other case numbers",,,,,,,,,"no",,,,,"selected(${RegOtherRef},'yes')",,,"${RegOtherCaseNo}","","repeatnest1","ListCaseNos","level2","Profile.HHDemo.ListCaseNos","Other case numbers",,"","","","","questions"
"text","RegOtherCaseList","Profile.HHDemo.ListCaseNos.RegOtherCaseList","List case numbers","List case numbers",,,,,,,,,"no",,,,,,"yes","regex(., '[(LEB)|(leb)|(0-9)]{3}\-[0-9]{2}[c|C][0-9]{5}' )  and string-length(.) =12",,"","repeatnest1","ListCaseNos","level2","Profile.HHDemo.ListCaseNos","List case numbers",,"","","","","questions"
"select_multiple_d","Caserelation","Profile.HHDemo.ListCaseNos.Caserelation","Relation with other cases",,,,,,,,,,,,,,,,,,,"relation ","repeatnest1","ListCaseNos","level2","Profile.HHDemo.ListCaseNos",,,"","","","","questions"
"end_repeat","ListCaseNos","Profile.HHDemo.ListCaseNos","NA",,,,,,,,,,"no",,,,,,,,,"","","ListCaseNos","level2","Profile.HHDemo",,,"","","","","questions"
"select_multiple_d","RegOtherWhy","Profile.HHDemo.RegOtherWhy","If no, why are they living with you?","If no, why are they living with you?",,"Demographics",,,,,,,"no",,,,,"selected(${RegOtherRef},'no')",,,,"living_notreg","","MainDataFrame","level2","Profile.HHDemo","If no, why are they living with you?",,"","","","","questions"
"end_group","HHDemo","Profile.HHDemo","Household Demographics","Household Demographics",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level1","Profile","Household Demographics",,"","","","","questions"
"begin_group","ArrivalHist","Profile.ArrivalHist.ArrivalHist","Arrival History and Status","Arrival History and Status",,,,,,,,,"no",,,,,,,"selected(${consent},'yes')",,"","","MainDataFrame","level2","Profile.ArrivalHist","Arrival History and Status",,"","","","","questions"
"select_one","HHArrival","Profile.ArrivalHist.HHArrival","Did all household members arrive in CoA at the same time?","Did all household members arrive in CoA at the same time?",,"Demographics",,,,,,,"no",,,,,,"yes",,," yesno","","MainDataFrame","level2","Profile.ArrivalHist","Did all household members arrive in CoA at the same time?",,"","","","","questions"
"date","DateArrival","Profile.ArrivalHist.DateArrival","When did all household members arrive in CoA?","When did all household members arrive in CoA?",,"Demographics",,,,,,,"no",,,,,"selected(${HHArrival},'yes')","yes",".<${today}  and int(format-date(.,’%Y%m%d’)) > 19190101",,"","","MainDataFrame","level2","Profile.ArrivalHist","When did all household members arrive in CoA?",,"","","","","questions"
"date","FirstArrival","Profile.ArrivalHist.FirstArrival","When did the FIRST household members arrive in CoA?","When did the FIRST household members arrive in CoA?",,"Demographics",,,,,,,"no",,,,,"selected(${HHArrival},'no')","yes",".<${today}  and int(format-date(.,’%Y%m%d’)) > 19190101",,"","","MainDataFrame","level2","Profile.ArrivalHist","When did the FIRST household members arrive in CoA?",,"","","","","questions"
"date","LastArrival","Profile.ArrivalHist.LastArrival","When did the LAST household members arrive in CoA?","When did the LAST household members arrive in CoA?",,"Demographics",,,,,,,"no",,,,,"selected(${HHArrival},'no')","yes",".<${today}  and int(format-date(.,’%Y%m%d’)) > 19190101",,"","","MainDataFrame","level2","Profile.ArrivalHist","When did the LAST household members arrive in CoA?",,"","","","","questions"
"select_one","RegDiff","Profile.ArrivalHist.RegDiff","Has anyone in the household experienced difficulties and/or been unable to register/r","Has anyone in the household experienced difficulties and/or been unable to regis",,"Documentation",,,,,,,"no",,,,,,"yes",,," yesno","","MainDataFrame","level2","Profile.ArrivalHist","Has anyone in the household experienced difficulties and/or been unable to regis",,"","","","","questions"
"select_multiple_d","DiffEncoun","Profile.ArrivalHist.DiffEncoun","What difficulties were experienced?","What difficulties were experienced?",,"Documentation",,,,,,,"no",,,,,"selected(${RegDiff},'yes')","yes",,,"difficulties","","MainDataFrame","level2","Profile.ArrivalHist","What difficulties were experienced?",,"","","","","questions"
"text","DifficultyOth","Profile.ArrivalHist.DifficultyOth","Please specify what other difficulties were experienced:","Please specify what other difficulties were experienced:",,,,,,,,,"no",,,,,"selected(${DiffEncoun},'other') or selected(${DiffEncoun},'Rejected')","yes",,,"","","MainDataFrame","level2","Profile.ArrivalHist","Please specify what other difficulties were experienced:",,"","","","","questions"
"select_one","DifRes","Profile.ArrivalHist.DifRes","Have these difficulties been resolved?","Have these difficulties been resolved?",,"Documentation",,,,,,,"no",,,,,"selected(${RegDiff},'yes')","yes",,," diff_res","","MainDataFrame","level2","Profile.ArrivalHist","Have these difficulties been resolved?","ordinal","","","","","questions"
"end_group","ArrivalHist","Profile.ArrivalHist","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level1","Profile",,,"","","","","questions"
"integer","IntCaseNo","Profile.IntCaseNo","How many members IN THE CASE BEING INTERVIEWED are present?","How many members IN THE CASE BEING INTERVIEWED are present?",,,,,,,,,"no",,,,,,"yes",,,"","","MainDataFrame","level1","Profile","How many members IN THE CASE BEING INTERVIEWED are present?",,"","","","","questions"
"begin_group","CaseNoDetails","Profile.CaseNoDetails.CaseNoDetails","Case bio-data","Case bio-data",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level2","Profile.CaseNoDetails","Case bio-data",,"","","","","questions"
"begin_repeat","IndBiodata","Profile.CaseNoDetails.IndBiodata.IndBiodata","Individual Bio-data","Individual Bio-data",,,,,,,,,"no",,,,,,,,"${IntCaseNo}","","repeatnest1","IndBiodata","level2","Profile.CaseNoDetails.IndBiodata","Individual Bio-data",,"","","","","questions"
"text","FirstName","Profile.CaseNoDetails.IndBiodata.FirstName","First name:","First name:",,,,,,,,"remove","no",,,,,,"yes",,,"","repeatnest1","IndBiodata","level2","Profile.CaseNoDetails.IndBiodata","First name:",,"","","","","questions"
"select_one","Sex","Profile.CaseNoDetails.IndBiodata.Sex","Sex:","Sex:",,"Demographics",,,,,,,"no",,,,,,"yes",,," sex","repeatnest1","IndBiodata","level2","Profile.CaseNoDetails.IndBiodata","Sex:",,"","","","","questions"
"date","BirthDate","Profile.CaseNoDetails.IndBiodata.BirthDate","Date of birth:","Date of birth:",,"Demographics",,,,,,,"no",,,,,,"yes",".<${today}  and int(format-date(.,’%Y%m%d’)) > 19190101",,"","repeatnest1","IndBiodata","level2","Profile.CaseNoDetails.IndBiodata","Date of birth:",,"","","","","questions"
"note","IndAge","Profile.CaseNoDetails.IndBiodata.IndAge","Individual Age","Individual Age",,,,,,,,,"no",,,,,,,,,"","repeatnest1","IndBiodata","level2","Profile.CaseNoDetails.IndBiodata","Individual Age",,"","","","","questions"
"select_one","Nationality","Profile.CaseNoDetails.IndBiodata.Nationality","Nationality:","Nationality:",,"Demographics",,,,,,,"no",,,,,,"yes",,," nationality","repeatnest1","IndBiodata","level2","Profile.CaseNoDetails.IndBiodata","Nationality:",,"","","","","questions"
"text","NationalityOther","Profile.CaseNoDetails.IndBiodata.NationalityOther","Please specify nationality:","Please specify nationality:",,,,,,,,,"no",,,,,"selected(${Nationality},'other')","yes",,,"","repeatnest1","IndBiodata","level2","Profile.CaseNoDetails.IndBiodata","Please specify nationality:",,"","","","","questions"
"select_one","HohRelation","Profile.CaseNoDetails.IndBiodata.HohRelation","Relationship to PA:","Relationship to PA:",,"Demographics",,,,,,,"no",,,,,,"yes",,," relation_to_HoH","repeatnest1","IndBiodata","level2","Profile.CaseNoDetails.IndBiodata","Relationship to PA:",,"","","","","questions"
"text","HohRelationOther","Profile.CaseNoDetails.IndBiodata.HohRelationOther","Please specify relationship to PA:","Please specify relationship to PA:",,,,,,,,,"no",,,,,"selected(${HohRelation},'other')","yes",,,"","repeatnest1","IndBiodata","level2","Profile.CaseNoDetails.IndBiodata","Please specify relationship to PA:",,"","","","","questions"
"select_one","HoHRelationNot","Profile.CaseNoDetails.IndBiodata.HoHRelationNot","Is someone in this case the child's legal guardian?","Is someone in this case the child's legal guardian?",,"Demographics",,,,,,,"no",,,,,"selected(${HohRelation},'NoRelationship') and ${IndAge} <= 18","yes",,," yesno","repeatnest1","IndBiodata","level2","Profile.CaseNoDetails.IndBiodata","Is someone in this case the child's legal guardian?",,"","","","","questions"
"begin_group","YouthEduc","Profile.CaseNoDetails.IndBiodata.YouthEduc.YouthEduc","Youth and Education","Youth and Education",,,,,,,,,"no",,,,,,,,,"","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.YouthEduc","Youth and Education",,"","","","","questions"
"note","YouthAges","Profile.CaseNoDetails.IndBiodata.YouthEduc.YouthAges","School details: to be asked from individuals aged 3-24 years old","School details: to be asked from individuals aged 3-24 years old",,,,,,,,,"no",,,,,"${IndAge} >= 3 and ${IndAge} <= 24",,,,"","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.YouthEduc","School details: to be asked from individuals aged 3-24 years old",,"","","","","questions"
"select_one","Enrolled","Profile.CaseNoDetails.IndBiodata.YouthEduc.Enrolled","During the current school year (201x-xx), did ${FirstName} attend any formal/public s","During the current school year (201x-xx), did Individual attend any formal/pub",,"Education",,,,,,,"no",,,,,"${IndAge} >= 3 and ${IndAge} <= 24","yes",,," yesno","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.YouthEduc","During the current school year (201x-xx), did Individual attend any formal/pub",,"","","","","questions"
"select_multiple_d","NotEnrolled","Profile.CaseNoDetails.IndBiodata.YouthEduc.NotEnrolled","If ${FirstName} did not attend any school, what are the reasons?","If Individual did not attend any school, what are the reasons?",,"Education",,,,,,,"no",,,,,"selected(${Enrolled},'no')","yes",,,"reasons_school","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.YouthEduc","If Individual did not attend any school, what are the reasons?",,"","","","","questions"
"text","NotEnrolledReas","Profile.CaseNoDetails.IndBiodata.YouthEduc.NotEnrolledReas","Please specify the reason if ${FirstName} did not attend any school","Please specify the reason if Individual did not attend any school",,,,,,,,,"no",,,,,"selected(${NotEnrolled},'other')","yes",,,"","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.YouthEduc","Please specify the reason if Individual did not attend any school",,"","","","","questions"
"begin_group","SchoolLevel","Profile.CaseNoDetails.IndBiodata.YouthEduc.SchoolLevel.SchoolLevel","School Level","School Level",,,,,,,,,"no",,,,,,,,,"","repeatnest1","IndBiodata","level4","Profile.CaseNoDetails.IndBiodata.YouthEduc.SchoolLevel","School Level",,"","","","","questions"
"select_one","GradeLevel","Profile.CaseNoDetails.IndBiodata.YouthEduc.SchoolLevel.GradeLevel","During the current school year (2017/18), which level and grade was/is ${FirstName} a","During the current school year (2017/18), which level and grade was/is ${FirstNa",,"Education",,,,,,,"no",,,,,"selected(${Enrolled},'yes')","yes",,," grade","repeatnest1","IndBiodata","level4","Profile.CaseNoDetails.IndBiodata.YouthEduc.SchoolLevel","During the current school year (2017/18), which level and grade was/is ${FirstNa","ordinal","","","","","questions"
"end_group","SchoolLevel","Profile.CaseNoDetails.IndBiodata.YouthEduc.SchoolLevel","NA",,,,,,,,,,"no",,,,,,,,,"","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.YouthEduc",,,"","","","","questions"
"select_one","OutOfSchool","Profile.CaseNoDetails.IndBiodata.YouthEduc.OutOfSchool","If out of school, please specify number of years out of school:","If out of school, please specify number of years out of school:",,"Education",,,,,,,"no",,,,,"selected(${Enrolled},'no')","yes",,," no_school_years","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.YouthEduc","If out of school, please specify number of years out of school:",,"","","","","questions"
"end_group","YouthEduc","Profile.CaseNoDetails.IndBiodata.YouthEduc","NA",,,,,,,,,,"no",,,,,,,,,"","repeatnest1","IndBiodata","level2","Profile.CaseNoDetails.IndBiodata",,,"","","","","questions"
"begin_group","Employment","Profile.CaseNoDetails.IndBiodata.Employment.Employment","Employment and livelihood","Employment and livelihood",,,,,,,,,"no",,,,,,,,,"","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.Employment","Employment and livelihood",,"","","","","questions"
"select_one","Worked","Profile.CaseNoDetails.IndBiodata.Employment.Worked","In the past 30 days, did ${FirstName} work?","In the past 30 days, did Individual work?","If yes, did you get paid? What did you receive?
pay or profit (including in-kind payments, rent, or other profit)","Employment_and_livelihood",,,,,,,"no",,,,,"${IndAge} >= 5 and ${IndAge} <= 70","yes",,," yesno","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.Employment","In the past 30 days, did Individual work?",,"","","","","questions"
"select_one","RegularWork","Profile.CaseNoDetails.IndBiodata.Employment.RegularWork","Was this work regular?","Was this work regular?",,"Employment_and_livelihood",,,,,,,"no",,,,,"selected(${Worked},'yes')","yes",,," yesno","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.Employment","Was this work regular?",,"","","","","questions"
"select_one","MoreOneJob","Profile.CaseNoDetails.IndBiodata.Employment.MoreOneJob","Does ${FirstName} usually work in more than one job?","Does Individual usually work in more than one job?",,"Employment_and_livelihood",,,,,,,"no",,,,,"selected(${Worked},'yes')","yes",,," yesno","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.Employment","Does Individual usually work in more than one job?",,"","","","","questions"
"integer","DaysWork","Profile.CaseNoDetails.IndBiodata.Employment.DaysWork","How many days did ${FirstName} work during the past 30 days for all jobs?","How many days did Individual work during the past 30 days for all jobs?",,"Employment_and_livelihood",,,,,,,"no",,,,,"selected(${Worked},'yes')","yes",".>=0 and .<=30",,"","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.Employment","How many days did Individual work during the past 30 days for all jobs?",,"","","","","questions"
"select_one","PersonWork","Profile.CaseNoDetails.IndBiodata.Employment.PersonWork","During the past seven days, did ${FirstName} work in return for pay or profit for at ","During the past seven days, did Individual work in return for pay or profit f",,"Employment_and_livelihood",,,,,,,"no",,,,,,"yes",,," yesno","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.Employment","During the past seven days, did Individual work in return for pay or profit f",,"","","","","questions"
"integer","HoursWork","Profile.CaseNoDetails.IndBiodata.Employment.HoursWork","How many hours per week does ${FirstName} usually work for all jobs?","How many hours per week does Individual usually work for all jobs?",,"Employment_and_livelihood",,,,,,,"no",,,,,"selected(${PersonWork},'yes')","yes",".>=0 and .<=168",,"","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.Employment","How many hours per week does Individual usually work for all jobs?",,"","","","","questions"
"select_one","TempAbsence","Profile.CaseNoDetails.IndBiodata.Employment.TempAbsence","Is ${FirstName} temporarily absent from his/her job with the intention to return (sic","Is Individual temporarily absent from his/her job with the intention to retur",,"Employment_and_livelihood",,,,,,,"no",,,,,"selected(${Worked},'no')","yes",,," yesno","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.Employment","Is Individual temporarily absent from his/her job with the intention to retur",,"","","","","questions"
"integer","NoWeeks","Profile.CaseNoDetails.IndBiodata.Employment.NoWeeks","For how long has ${FirstName} been not working? (number of weeks)","For how long has Individual been not working? (number of weeks)",,"Employment_and_livelihood",,,,,,,"no",,,,,"selected(${Worked},'no')","yes",".>=1 and .<=48",,"","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.Employment","For how long has Individual been not working? (number of weeks)",,"","","","","questions"
"select_one","SearchWork","Profile.CaseNoDetails.IndBiodata.Employment.SearchWork","Has ${FirstName} actively searched for work during the past 30 days (asking friends a","Has Individual actively searched for work during the past 30 days (asking frie",,"Employment_and_livelihood",,,,,,,"no",,,,,"selected(${Worked},'no')","yes",,," yesno","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.Employment","Has Individual actively searched for work during the past 30 days (asking frie",,"","","","","questions"
"select_multiple_d","ReasonsNotWork","Profile.CaseNoDetails.IndBiodata.Employment.ReasonsNotWork","What are the reasons ${FirstName} has not been working in the past 30 days?","What are the reasons Individual has not been working in the past 30 days?",,"Employment_and_livelihood",,,,,,,"no",,,,,"selected(${Worked},'no')","yes",,,"not_working_reasons","repeatnest1","IndBiodata","level3","Profile.CaseNoDetails.IndBiodata.Employment","What are the reasons Individual has not been working in the past 30 days?",,"","","","","questions"
